708, 90, 4, 93, 97, 84, 1
636, 120, 4, 93, 97, 84, 1
766, 120, 4, 93, 97, 84, 1
571, 150, 4, 93, 97, 84, 1
701, 150, 4, 93, 97, 84, 1
831, 150, 4, 93, 97, 84, 1
476, 180, 4, 205, 205, 198, 1
606, 180, 4, 93, 97, 84, 1
736, 180, 4, 93, 97, 84, 1
866, 180, 4, 93, 97, 84, 1
996, 180, 4, 205, 205, 198, 1
377, 210, 4, 205, 205, 198, 1
585, 210, 4, 93, 97, 84, 1
715, 210, 4, 93, 97, 84, 1
845, 210, 4, 93, 97, 84, 1
1053, 210, 4, 205, 205, 198, 1
464, 240, 4, 205, 205, 198, 1
594, 240, 4, 205, 205, 198, 1
724, 240, 4, 205, 205, 198, 1
854, 240, 4, 205, 205, 198, 1
984, 240, 4, 205, 205, 198, 1
578, 270, 4, 93, 97, 84, 1
708, 270, 4, 93, 97, 84, 1
838, 270, 4, 93, 97, 84, 1
650, 300, 4, 93, 97, 84, 1
780, 300, 4, 93, 97, 84, 1
715, 330, 4, 93, 97, 84, 1
