607, 60, 1, 203, 195, 184, 1
737, 60, 4, 206, 139, 61, 1
572, 90, 1, 203, 195, 184, 1
737, 90, 4, 206, 139, 61, 1
542, 120, 1, 203, 195, 184, 1
737, 120, 4, 206, 139, 61, 1
507, 150, 1, 203, 195, 184, 1
737, 150, 4, 206, 139, 61, 1
152, 180, 4, 130, 91, 46, 1
572, 180, 1, 203, 195, 184, 1
737, 180, 4, 206, 139, 61, 1
217, 210, 4, 130, 91, 46, 1
607, 210, 1, 203, 195, 184, 1
737, 210, 4, 206, 139, 61, 1
1127, 210, 4, 130, 91, 46, 1
282, 240, 4, 130, 91, 46, 1
737, 240, 4, 206, 139, 61, 1
1192, 240, 4, 130, 91, 46, 1
347, 270, 4, 130, 91, 46, 1
737, 270, 4, 206, 139, 61, 1
1192, 270, 4, 130, 91, 46, 1
412, 300, 4, 130, 91, 46, 1
542, 300, 4, 170, 105, 30, 1
672, 300, 4, 170, 105, 30, 1
802, 300, 4, 170, 105, 30, 1
932, 300, 4, 170, 105, 30, 1
1062, 300, 4, 170, 105, 30, 1
1192, 300, 4, 130, 91, 46, 1
412, 330, 4, 130, 91, 46, 1
542, 330, 4, 170, 105, 30, 1
672, 330, 4, 170, 105, 30, 1
802, 330, 4, 170, 105, 30, 1
932, 330, 4, 170, 105, 30, 1
1062, 330, 4, 170, 105, 30, 1
1192, 330, 4, 130, 91, 46, 1
412, 360, 4, 130, 91, 46, 1
672, 360, 4, 170, 105, 30, 1
802, 360, 4, 170, 105, 30, 1
932, 360, 4, 170, 105, 30, 1
1192, 360, 4, 130, 91, 46, 1
412, 390, 4, 130, 91, 46, 1
672, 390, 4, 170, 105, 30, 1
802, 390, 4, 170, 105, 30, 1
932, 390, 4, 170, 105, 30, 1
1192, 390, 4, 130, 91, 46, 1
412, 420, 4, 130, 91, 46, 1
542, 420, 4, 170, 105, 30, 1
672, 420, 4, 170, 105, 30, 1
802, 420, 4, 170, 105, 30, 1
932, 420, 4, 170, 105, 30, 1
1062, 420, 4, 170, 105, 30, 1
1192, 420, 4, 130, 91, 46, 1
477, 450, 4, 130, 91, 46, 1
607, 450, 4, 130, 91, 46, 1
737, 450, 4, 130, 91, 46, 1
867, 450, 4, 130, 91, 46, 1
997, 450, 4, 130, 91, 46, 1
1127, 450, 4, 130, 91, 46, 1
607, 480, 4, 130, 91, 46, 1
737, 480, 4, 130, 91, 46, 1
867, 480, 4, 130, 91, 46, 1
997, 480, 4, 130, 91, 46, 1
