280, 60, 4
410, 60, 4
1020, 60, 4
1150, 60, 4
150, 90, 4
540, 90, 4
890, 90, 4
1280, 90, 4
150, 120, 4
540, 120, 4
890, 120, 4
1280, 120, 4
150, 150, 4
345, 150, 4
540, 150, 4
890, 150, 4
1085, 150, 4
1280, 150, 4
150, 180, 4
345, 180, 4
540, 180, 4
890, 180, 4
1085, 180, 4
1280, 180, 4
150, 210, 4
345, 210, 4
540, 210, 4
890, 210, 4
1085, 210, 4
1280, 210, 4
150, 240, 4
345, 240, 4
540, 240, 4
890, 240, 4
1085, 240, 4
1280, 240, 4
150, 270, 4
540, 270, 4
890, 270, 4
1280, 270, 4
150, 300, 4
540, 300, 4
890, 300, 4
1280, 300, 4
280, 330, 4
410, 330, 4
1020, 330, 4
1150, 330, 4
